step,potential_energy,temperature
201000,-3688.800000000013,1.0
202000,-3677.200000000012,1.0
203000,-3729.400000000014,1.0
204000,-3735.2000000000103,1.0
205000,-3712.000000000014,1.0
206000,-3642.4000000000124,1.0
207000,-3549.6000000000104,1.0
208000,-3613.4000000000115,1.0
209000,-3630.800000000009,1.0
210000,-3741.0000000000086,1.0
211000,-3607.600000000011,1.0
212000,-3671.400000000008,1.0
213000,-3706.2000000000107,1.0
214000,-3758.4000000000133,1.0
215000,-3752.6000000000113,1.0
216000,-3752.600000000012,1.0
217000,-3775.8000000000084,1.0
218000,-3793.2000000000103,1.0
219000,-3781.600000000015,1.0
220000,-3758.4000000000137,1.0
221000,-3874.400000000013,1.0
222000,-3787.40000000001,1.0
223000,-3793.2000000000107,1.0
224000,-3891.8000000000097,1.0
225000,-3839.600000000012,1.0
226000,-3822.2000000000107,1.0
227000,-3793.2000000000126,1.0
228000,-3845.4000000000115,1.0
229000,-3874.400000000011,1.0
230000,-3891.800000000014,1.0
231000,-3973.0000000000127,1.0
232000,-3938.200000000015,1.0
233000,-3880.200000000013,1.0
234000,-3886.000000000013,1.0
235000,-3822.200000000011,1.0
236000,-3868.6000000000126,1.0
237000,-3787.4000000000124,1.0
238000,-3868.6000000000136,1.0
239000,-3810.600000000015,1.0
240000,-3944.0000000000136,1.0
241000,-3857.0000000000136,1.0
242000,-3857.0000000000146,1.0
243000,-3868.6000000000163,1.0
244000,-3857.0000000000127,1.0
245000,-3677.2000000000107,1.0
246000,-3775.8000000000097,1.0
247000,-3804.8000000000125,1.0
248000,-3810.600000000016,1.0
249000,-3764.200000000012,1.0
250000,-3723.600000000012,1.0
251000,-3654.000000000014,1.0
252000,-3746.800000000013,1.0
253000,-3804.800000000011,1.0
254000,-3868.60000000001,1.0
255000,-3857.000000000008,1.0
256000,-3909.2000000000144,1.0
257000,-3793.2000000000144,1.0
258000,-3758.4000000000115,1.0
259000,-3868.600000000014,1.0
260000,-3793.200000000013,1.0
261000,-3857.00000000001,1.0
262000,-3833.800000000013,1.0
263000,-3781.6000000000126,1.0
264000,-3897.600000000013,1.0
265000,-3857.00000000001,1.0
266000,-3828.000000000012,1.0
267000,-3903.4000000000137,1.0
268000,-3909.2000000000144,1.0
269000,-3828.0000000000123,1.0
270000,-3804.800000000011,1.0
271000,-3758.4000000000137,1.0
272000,-3839.6000000000117,1.0
273000,-3810.6000000000136,1.0
274000,-3851.2000000000116,1.0
275000,-3816.40000000001,1.0
276000,-3915.00000000001,1.0
277000,-3845.400000000011,1.0
278000,-3816.4000000000124,1.0
279000,-3839.6000000000126,1.0
280000,-3793.200000000014,1.0
281000,-3810.600000000014,1.0
282000,-3787.4000000000137,1.0
283000,-3845.400000000015,1.0
284000,-3920.800000000016,1.0
285000,-3874.4000000000146,1.0
286000,-3857.0000000000146,1.0
287000,-3897.600000000013,1.0
288000,-3833.800000000013,1.0
289000,-3874.4000000000174,1.0
290000,-3886.0000000000177,1.0
291000,-3862.800000000017,1.0
292000,-3857.000000000017,1.0
293000,-3828.0000000000155,1.0
294000,-3897.600000000018,1.0
295000,-3891.800000000017,1.0
296000,-3903.400000000018,1.0
297000,-3886.0000000000177,1.0
298000,-3862.800000000017,1.0
299000,-3810.600000000017,1.0
300000,-3810.6000000000145,1.0
301000,-3897.600000000017,1.0
302000,-3944.0000000000146,1.0
303000,-3903.4000000000187,1.0
304000,-3897.6000000000204,1.0
305000,-3984.600000000019,1.0
306000,-3932.4000000000196,1.0
307000,-3845.4000000000183,1.0
308000,-3868.600000000015,1.0
309000,-3978.800000000017,1.0
310000,-3897.600000000014,1.0
311000,-3886.0000000000136,1.0
312000,-3903.4000000000133,1.0
313000,-4048.4000000000133,1.0
314000,-3984.6000000000136,1.0
315000,-3903.4000000000156,1.0
316000,-3903.4000000000156,1.0
317000,-3915.000000000018,1.0
318000,-3874.4000000000156,1.0
319000,-3978.800000000016,1.0
320000,-3909.200000000015,1.0
321000,-3932.400000000012,1.0
322000,-3944.000000000014,1.0
323000,-3949.800000000016,1.0
324000,-3909.200000000015,1.0
325000,-3949.800000000016,1.0
326000,-3920.8000000000143,1.0
327000,-4054.2000000000176,1.0
328000,-3984.600000000015,1.0
329000,-3949.800000000014,1.0
330000,-3938.2000000000135,1.0
331000,-3967.200000000013,1.0
332000,-3915.000000000013,1.0
333000,-4002.000000000016,1.0
334000,-4002.000000000019,1.0
335000,-3903.400000000015,1.0
336000,-3984.6000000000163,1.0
337000,-4065.8000000000166,1.0
338000,-4042.6000000000163,1.0
339000,-3955.6000000000154,1.0
340000,-3944.0000000000136,1.0
341000,-3828.000000000015,1.0
342000,-3938.200000000016,1.0
343000,-3915.0000000000123,1.0
344000,-3938.2000000000135,1.0
345000,-3973.000000000015,1.0
346000,-3932.400000000016,1.0
347000,-4013.600000000014,1.0
348000,-4042.600000000017,1.0
349000,-3920.8000000000156,1.0
350000,-3938.200000000016,1.0
351000,-4031.0000000000146,1.0
352000,-4036.8000000000147,1.0
353000,-3990.4000000000165,1.0
354000,-4025.2000000000153,1.0
355000,-4019.4000000000156,1.0
356000,-3944.000000000016,1.0
357000,-4007.8000000000143,1.0
358000,-4071.6000000000167,1.0
359000,-4060.0000000000173,1.0
360000,-3978.800000000015,1.0
361000,-4002.0000000000173,1.0
362000,-4071.600000000017,1.0
363000,-4083.200000000014,1.0
364000,-4042.6000000000145,1.0
365000,-4106.400000000015,1.0
366000,-4170.200000000016,1.0
367000,-4135.400000000018,1.0
368000,-4164.400000000018,1.0
369000,-4152.800000000019,1.0
370000,-4106.400000000017,1.0
371000,-4181.800000000018,1.0
372000,-4042.600000000013,1.0
373000,-4019.400000000011,1.0
374000,-4042.6000000000145,1.0
375000,-4118.000000000015,1.0
376000,-4071.6000000000136,1.0
377000,-4031.000000000015,1.0
378000,-4083.2000000000157,1.0
379000,-3944.0000000000127,1.0
380000,-3920.8000000000156,1.0
381000,-3978.800000000015,1.0
382000,-4007.800000000015,1.0
383000,-3932.4000000000137,1.0
384000,-3996.200000000016,1.0
385000,-3978.800000000015,1.0
386000,-3996.200000000014,1.0
387000,-3978.8000000000116,1.0
388000,-3920.8000000000147,1.0
389000,-3978.800000000013,1.0
390000,-3955.600000000015,1.0
391000,-3961.400000000014,1.0
392000,-4019.400000000017,1.0
393000,-4083.2000000000144,1.0
394000,-3990.4000000000137,1.0
395000,-3961.4000000000137,1.0
396000,-4042.6000000000154,1.0
397000,-4007.8000000000156,1.0
398000,-4094.800000000014,1.0
399000,-4013.600000000015,1.0
400000,-3990.400000000017,1.0
401000,-4112.200000000016,1.0
402000,-4112.200000000014,1.0
403000,-4071.600000000016,1.0
404000,-4089.000000000014,1.0
405000,-4118.000000000016,1.0
406000,-4106.400000000015,1.0
407000,-4123.800000000014,1.0
408000,-4106.400000000015,1.0
409000,-4228.200000000016,1.0
410000,-4222.400000000015,1.0
411000,-4257.200000000014,1.0
412000,-4234.000000000016,1.0
413000,-4216.600000000016,1.0
414000,-4239.800000000014,1.0
415000,-4222.400000000013,1.0
416000,-4118.000000000015,1.0
417000,-4158.600000000013,1.0
418000,-4135.40000000001,1.0
419000,-4181.800000000012,1.0
420000,-4158.600000000013,1.0
421000,-4257.200000000014,1.0
422000,-4187.600000000017,1.0
423000,-4181.800000000015,1.0
424000,-4152.800000000014,1.0
425000,-4176.000000000016,1.0
426000,-4251.400000000018,1.0
427000,-4205.000000000014,1.0
428000,-4193.400000000014,1.0
429000,-4274.600000000016,1.0
430000,-4228.200000000014,1.0
431000,-4234.000000000015,1.0
432000,-4361.600000000016,1.0
433000,-4280.400000000018,1.0
434000,-4292.000000000016,1.0
435000,-4303.600000000017,1.0
436000,-4297.800000000016,1.0
437000,-4315.200000000017,1.0
438000,-4263.000000000014,1.0
439000,-4268.800000000017,1.0
440000,-4263.000000000018,1.0
441000,-4280.400000000017,1.0
442000,-4216.600000000014,1.0
443000,-4292.000000000017,1.0
444000,-4297.800000000017,1.0
445000,-4309.400000000018,1.0
446000,-4176.000000000014,1.0
447000,-4239.800000000015,1.0
448000,-4309.400000000018,1.0
449000,-4292.000000000019,1.0
450000,-4321.000000000019,1.0
451000,-4292.000000000018,1.0
452000,-4286.20000000002,1.0
453000,-4315.200000000019,1.0
454000,-4344.20000000002,1.0
455000,-4303.600000000018,1.0
456000,-4210.8000000000175,1.0
457000,-4222.400000000016,1.0
458000,-4234.000000000015,1.0
459000,-4181.800000000012,1.0
460000,-4251.400000000019,1.0
461000,-4326.800000000021,1.0
462000,-4303.600000000017,1.0
463000,-4384.800000000019,1.0
464000,-4361.600000000021,1.0
465000,-4350.000000000018,1.0
466000,-4315.200000000018,1.0
467000,-4228.200000000019,1.0
468000,-4350.00000000002,1.0
469000,-4338.40000000002,1.0
470000,-4344.200000000018,1.0
471000,-4402.200000000021,1.0
472000,-4384.800000000022,1.0
473000,-4431.200000000019,1.0
474000,-4466.000000000019,1.0
475000,-4506.600000000021,1.0
476000,-4529.800000000024,1.0
477000,-4506.60000000002,1.0
478000,-4547.200000000025,1.0
479000,-4587.800000000026,1.0
480000,-4524.000000000022,1.0
481000,-4500.800000000025,1.0
482000,-4483.400000000022,1.0
483000,-4408.000000000022,1.0
484000,-4431.2000000000235,1.0
485000,-4419.60000000002,1.0
486000,-4442.800000000019,1.0
487000,-4466.000000000022,1.0
488000,-4500.80000000002,1.0
489000,-4477.600000000021,1.0
490000,-4442.800000000024,1.0
491000,-4471.800000000022,1.0
492000,-4518.20000000002,1.0
493000,-4535.600000000025,1.0
494000,-4471.800000000021,1.0
495000,-4471.800000000024,1.0
496000,-4512.4000000000215,1.0
497000,-4529.800000000023,1.0
498000,-4535.600000000023,1.0
499000,-4466.000000000021,1.0
500000,-4402.200000000023,1.0
501000,-4512.40000000002,1.0
502000,-4489.2000000000235,1.0
503000,-4512.400000000022,1.0
504000,-4558.800000000022,1.0
505000,-4535.600000000021,1.0
506000,-4437.00000000002,1.0
507000,-4396.40000000002,1.0
508000,-4390.600000000019,1.0
509000,-4454.400000000021,1.0
510000,-4437.000000000019,1.0
511000,-4384.800000000017,1.0
512000,-4419.600000000019,1.0
513000,-4471.800000000018,1.0
